Name,Sr_No,Nationality,PD,Gender,Competition,Result,TimePoint_Label,Happy,Sad,Angry,Surprised,Scared,Disgusted,Valence,Arousal,Neutral,Sighted_Blind,Group,Athlete_Code,PD_Code,SB_Code,Result_Code
Ludmilla da Silva (14),761,BRA,High,Female,Olympic,Loss,Pre,5.110051372727273e-05,0.008234602436363637,0.00582964667,3.790317563636364e-05,0.0001849321000909091,0.0005033674181818183,-0.00892309520909091,0.2676633072727273,0.9519746127272728,Sighted,High PD – Sighted,344,1,0,0
Ann-Katrin Berger (12),762,GER,Low,Female,Olympic,Win,Pre,0.1901735439892692,1.955857657692307e-06,3.7318881e-06,5.668636138461538e-07,0.001049326376538462,1.144451927692308e-05,0.1891242175277308,0.4939627915384616,0.4048049261538462,Sighted,Low PD – Sighted,49,0,0,1
Sarai Linder (2),763,GER,Low,Female,Olympic,Win,Pre,0.1058916351380826,0.002213770882954348,0.05147303653747611,0.001006634687978261,0.04473002326118696,0.02461220749760652,0.01164075044004348,0.4548988239130435,0.4743776430434782,Sighted,Low PD – Sighted,510,0,0,1
Kathrin Hendrich (3),764,GER,Low,Female,Olympic,Win,Pre,0.1482466506,0.02272277743333333,0.002557789068666667,0.008735817067466668,0.001275712606,0.008759984446666667,0.1216316744666667,0.3740297653333334,0.4672313373333333,Sighted,Low PD – Sighted,289,0,0,1
Marina Hegering (5),765,GER,Low,Female,Olympic,Win,Pre,5.2054087074375e-05,0.01040197434375,0.0388369664375,0.001042267785,0.003025047030625,3.33855128125e-05,-0.03884924175,0.400858839375,0.53578012125,Sighted,Low PD – Sighted,365,0,0,1
Felecitas Rauch (19),766,GER,Low,Female,Olympic,Win,Pre,0.001907900525071429,6.533292554285715e-05,1.657822431428571e-05,0.003118078786285714,0.02786336132071429,0.0001249657255785714,-0.025955461035,0.3298165107142857,0.7510123014285713,Sighted,Low PD – Sighted,179,0,0,1
Sjoeke Nüsken (9),767,GER,Low,Female,Olympic,Win,Pre,4.847154e-07,6.690903651428572e-06,0.0,0.02068070772857142,0.0007757892544285716,2.557798e-05,-0.0007753045258571429,0.4881209157142857,0.5940113957142856,Sighted,Low PD – Sighted,532,0,0,1
Janina Minge (6),768,GER,Low,Female,Olympic,Win,Pre,7.147663004545455e-05,0.008161278827227274,0.1592434416027273,0.009752117066545453,0.02015436446818182,0.01740256309054545,-0.1746156007272728,0.5000382695454545,0.4064157118181818,Sighted,Low PD – Sighted,252,0,0,1
Guilia Gwinn (15),769,GER,Low,Female,Olympic,Win,Pre,1.20444535e-05,0.0006536933808076923,8.508058630769232e-05,0.02380834333923077,0.01470956737261538,0.0003278546282307693,-0.01469752268030769,0.4441264523076923,0.4947215884615385,Sighted,Low PD – Sighted,208,0,0,1
Jule Brand (16),770,GER,Low,Female,Olympic,Win,Pre,0.001857544024,0.0010200781344,0.01300368548266666,0.01803681562586667,0.009814177017333333,0.04621528178,-0.05898038060000001,0.4334121333333333,0.5388881933333333,Sighted,Low PD – Sighted,280,0,0,1
